Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
use,cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,2.0,-1.0,0.0,1.0,0.5,1.0,0.666666666667,0.8
use,cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) ,1.0,-1.0,0.0,1.0,0.0,1.0,0.5,0.666666666667
use,cucumber/cucumber_2 (nan)      cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) cucumber/cucumber_2 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
use,cucumber/cucumber_2 (nan)      ,cucumber/cucumber_2 (nan) ,cucumber/cucumber_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - use,,,,,,,,0.85,1.0,0.9166666666666666,0.9466666666666667
 ,,,,,,,,,,,
cube,banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.666666666667
cube,banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      ,cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cube,banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      banana/banana_3 (nan)      banana/banana_3 (nan)      ,cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      ,cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - cube,,,,,,,,0.9166666666666666,1.0,0.9166666666666666,0.9466666666666667
 ,,,,,,,,,,,
look,cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
look,banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
look,cube/cube_2 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
look,banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) ,cube/cube_2 (nan) ,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
look,cube/cube_2 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
look,banana/banana_3 (nan)      cube/cube_2 (nan)      banana/banana_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
