Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_3,1-corn/corn_3,2-corn/corn_3,3-corn/corn_3,4-corn/corn_3,0-cube/cube_1,1-cube/cube_1,2-cube/cube_1,3-cube/cube_1,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9999782604304442,0.999985864495617,0.9712532778497652,0.9769616758007909,0.9798695055962496,0.9807255862430255,0.9807939859223549,0.9999983665141736,0.9999984973605842,0.9999985062007087,0.9999985861386417,0.3309719416159551,0.4279935845307151,0.4291511532059208,0.5163662976751349
banana,shape,0.9999619977215368,0.9999755384135088,0.9994209946258379,0.9991203007081116,0.9953777542935928,0.9941349230446219,0.01792109444840311,4.4263847765577316e-05,8.728128395601013e-05,4.171329400306189e-05,0.00031614637164933425,0.9852041329941392,0.9997178786136941,0.9991781743660344,4.543990549328857e-05
banana,object,0.9999857143326305,0.999993691141948,0.9987512365885554,0.998265292380919,0.9954930636743535,0.9938398312125643,0.4880230487781055,0.5217493968571753,0.6363879686955617,0.3794554835447657,0.710294091812472,0.9136450785761877,0.9936753779449767,0.976243146227283,0.01905110952505625
corn,rgb,0.00048487627079674394,4.088705266300286e-05,0.9995278315182898,0.999056543808321,0.9991958955999407,0.9990973933915605,0.9990595476249965,7.002733893392813e-19,9.602627795749751e-19,9.467084221524156e-19,2.606237407716506e-18,8.97592367589599e-13,3.97986260812004e-13,2.1031337612182985e-12,8.989652939247423e-14
corn,shape,0.9702200026110158,0.9999882347891699,0.9999991600669254,0.9999992138304278,0.9999948638255054,0.9999626418563171,0.9994896953576765,2.1331893377034604e-06,1.1614430317609618e-06,0.0014736181672290209,0.00037125227151816047,0.9958190421239282,0.9999975425776599,0.34905838783182724,0.0002948428725476591
corn,object,0.9973962944559461,0.9999984233582062,0.9999986123595537,0.9999979919676169,0.9999919340311845,0.9999362168506577,0.9995987967435048,0.02838912456144872,0.021274263687047188,0.9296301158958153,0.7180577420215472,0.9964421078402604,0.99999686756269,0.10600043433718388,0.07892127611213764
cube,rgb,5.8825836569459966e-05,0.00016257271008510865,1.005503248435181e-06,1.017261170129164e-06,9.61325668743183e-07,9.633895077041037e-07,9.67280376405831e-07,0.9985077208181078,0.998376827437846,0.9983977037195613,0.9974397328740847,0.005504186381178631,0.006715880401280525,0.003982344137404206,0.010526583366353232
cube,shape,9.697215512474713e-06,8.911509575414361e-07,9.873737260920452e-07,2.3556925028103577e-05,1.933486318602289e-05,0.0014663423436303326,0.48008997997594743,0.9998693935777344,0.9999073891870799,0.9998309225475968,0.9997530723469896,3.278532110007434e-07,2.3750831488041642e-05,0.0005321661326650852,0.1075561220076412
cube,object,5.93201367714078e-07,1.233345249015252e-07,4.727487633308577e-07,1.4297817654788534e-05,1.3714687236707549e-05,0.0007518337828685998,0.11131015946512737,0.9998767534781622,0.99990808755871,0.9998682639106155,0.9998065139196975,7.244900126236356e-07,1.3446704772056674e-05,0.0020424229166991176,0.032916402663970556
