Token,Type,0-banana/banana_4,1-banana/banana_4,2-banana/banana_4,3-banana/banana_4,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.999923354743815,0.9985286518233693,0.9999998962385769,0.9976425340016579,0.005120139414698155,0.005871107592668111,0.005671448743288227,0.006793611831225037,1.4574095983794846e-09,1.652725853065571e-09,2.919720938218587e-09,2.8065329699868747e-08,7.676790773149336e-09,0.00012661880378863637,0.0003691702160541751,0.00025108178978654953,0.0011121381516126607
banana,shape,0.9997568414640245,0.9991590655276235,0.9998658218026982,0.9996486697127663,7.586100074869229e-06,6.073886975540453e-05,0.0018234290847901795,0.0065154585455777445,0.36818018189301277,0.0668971552895129,0.015176780899896101,0.008970030613385216,0.010100652995578567,4.198059413645023e-06,0.47729882334945234,0.9901141982270317,0.003955543686571544
banana,object,0.9998695675495571,0.9993733010506594,0.9999714639902924,0.9997298093288526,2.1120478415419617e-05,0.00011188130630178862,0.0009132075573070639,0.005272683308524298,0.0007779050341727734,0.00016198399291285492,6.920762922998664e-05,0.00011402836050622481,5.8978528324870916e-05,1.0619730983282416e-05,0.02706993326827198,0.46386795291197125,0.003048611885798367
block,rgb,0.1498173261199368,0.0014642749139578,0.9531870163219912,8.853253926052965e-05,5.318576486170549e-07,5.435568133867846e-07,4.964669382743379e-07,5.133553348905782e-07,0.9996009328024502,0.9986890008987297,0.9983787559913648,0.9921425263625185,0.9631615504530128,0.003987688893232208,0.004980217296124963,0.0028670146255987488,0.008083540232391587
block,shape,0.1031872188307903,2.3667308435142937e-06,0.0009333749707546162,0.9940104715223101,2.101491941017533e-05,0.012713458492215503,0.023920494208756807,0.9999294742195206,0.9999646134714515,0.9999928476053965,0.9999607557381366,0.9999566621257708,0.9997021928471802,0.0009004535306597692,2.459464357937607e-05,0.01019179585094358,0.9981558883507046
block,object,0.04340128862691465,2.230916824668369e-06,0.0007014712102249728,0.9716810250821823,1.921566232137147e-05,0.008997417439419012,0.015286241804255633,0.9997989520578585,0.9999535183298769,0.9999895345001198,0.9999528799957282,0.9999470263084005,0.9997010683573387,0.0007399657344757158,2.0508366377974716e-05,0.008675105010699182,0.9956135695735118
corn,rgb,3.1729334608770343e-10,3.9211927977555223e-07,2.9953858687798e-13,3.153509349049211e-05,0.9986700166745622,0.99839825886938,0.9988016079297062,0.9984472222006074,1.0427074409050675e-05,2.9855511841209954e-05,2.0890804789119425e-05,1.150464029533702e-05,0.00021633234496689214,0.0011674879513188705,0.00036249056236986463,0.0010501227180132863,8.097683071995065e-05
corn,shape,0.9998390818470757,2.3993786748877715e-05,1.6427229768948073e-09,0.9994364478220892,0.9995385531848421,0.9999382826048824,0.9998508001517552,0.9996331354821374,0.031517740880174464,0.340223641366182,0.48257528604437927,0.6380720104803002,0.8229085559620057,0.47531051781101014,0.988926964971951,0.043579529732035674,0.9386993112296735
corn,object,0.00883686345068468,1.880329883404539e-05,4.506541460491847e-10,0.5081869050184398,0.9996790826957284,0.999940751722635,0.9998568827546144,0.9997051512460039,1.458712425047276e-05,0.00016256056991933367,0.00018377915061841888,0.0002966068144253883,0.0028058412156934673,0.028935671352115572,0.07255007498572995,0.0004546637397234715,0.02509825211837301
cube,rgb,0.1498173261199368,0.0014642749139578,0.9531870163219912,8.853253926052965e-05,5.318576486170549e-07,5.435568133867846e-07,4.964669382743379e-07,5.133553348905782e-07,0.9996009328024502,0.9986890008987297,0.9983787559913648,0.9921425263625185,0.9631615504530128,0.003987688893232208,0.004980217296124963,0.0028670146255987488,0.008083540232391587
