Token,Type,0-banana/banana_4,1-banana/banana_4,2-banana/banana_4,3-banana/banana_4,0-corn/corn_2,1-corn/corn_2,2-corn/corn_2,3-corn/corn_2,4-corn/corn_2,5-corn/corn_2,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9995794144345743,0.997620652397831,0.9999984220889542,0.9983123856725077,0.0024345348644336543,0.00326980471792033,0.003097108400349848,0.0038374299789260993,0.005941833228660124,0.006063299807810094,1.0,1.0,1.0,1.0,1.0,0.0002592781212754162,0.0006532827371756262,0.0003881229018925323,0.0006102808310481723,0.0006906660951510032,0.0011715897742098466
banana,shape,0.99984799924905,0.9993955816857857,0.999758094431092,0.9998689219549047,0.0006037213154327708,0.0006037213154327665,0.0013008308213668834,3.747651776385208e-05,0.8319637625882884,0.8402309812374918,0.8751827785135504,0.09148829398154903,0.22405233933792174,0.11277830865501363,0.47478983476697556,0.03700899670481246,0.02124302365202844,0.02852568363411166,0.0005056077335371668,0.3651164342313263,0.9886540226018865
banana,object,0.9998953035598716,0.9995347460454997,0.9998841115462768,0.9998715744383792,0.00043904634621640495,0.000497155434028043,0.0007211761898306716,6.197033683377503e-05,0.18269443636513458,0.16067588557116708,0.9999998509449028,0.999996645196352,0.9999995773147868,0.9999992271366522,0.9999998778702348,0.007378658108582159,0.005402630020413574,0.006261072922532482,0.00029737824933428466,0.03175848049828698,0.6488216391892963
block,rgb,0.37879782586935323,0.015378113677418008,0.9545572742444333,0.001770671657560281,7.433673438195229e-05,7.609827290216765e-05,7.291547349237765e-05,7.193287689598775e-05,7.034409229930332e-05,6.700629834702878e-05,0.9957806117948402,0.9962098836638228,0.9999568634951683,0.9999695430056873,0.9999918205621098,0.08772335923081327,0.19344463858169691,0.10924713290461148,0.09540847490154347,0.07891949995581013,0.04930611420117254
block,shape,0.0026582907829538916,0.00017933482258645676,0.0005799007200239749,0.8684893325438314,0.00558652281183725,0.005586522811837269,0.005370042712901265,0.012302475779987826,0.001386340128415615,0.09178889521156744,0.9999887374528477,0.9999751050242164,0.9999912510741684,0.9999866804910029,0.9999452269998752,0.002317746298363134,0.0023084561470032962,0.0029407471502438066,0.08098215507122783,0.0031524260238548754,0.41040642462926324
block,object,0.0013538768035904808,0.00015488637125671563,0.0002554134325237181,0.18705993457240944,0.0031783996346357573,0.0031280217980712427,0.0026435939502061304,0.0073147268730754935,0.001473792854279316,0.04212351170501716,0.9999734210339555,0.9999508996944643,0.9999732418392027,0.9999762528672195,0.9999019618705564,0.0018407270694203667,0.0028669746299529075,0.00320196213192774,0.08574913611376722,0.004368243440402753,0.369202579173785
corn,rgb,5.434037697352862e-08,1.3270904783862978e-05,3.380822307039969e-11,0.00018964748669667716,0.9999945341125793,0.9999893029875725,0.99999196291839,0.9999886079190362,0.9999769353312896,0.999980338484695,5.875342445791826e-09,5.2719515895964695e-09,2.3599588411891573e-10,1.3242287768640023e-10,7.548849697290364e-11,0.6419236232261496,0.16450098519836734,0.4502412713218682,0.3714541121631871,0.40130190214106914,0.4144608243175947
corn,shape,0.9538450993015417,0.915500625705986,0.001286408855576459,0.9998252207364505,0.9999741012492241,0.9999741012492241,0.9999369001133097,0.9999949052760193,0.9995747653317967,0.9999963419769565,0.3441708942188002,0.9675728394387725,0.9378734403883593,0.9843423799622765,0.827769464688339,0.9996068883438805,0.9899117583440463,0.9998404037327367,0.9971359065864462,0.9997159718391053,0.0008308930396555603
corn,object,0.08658869669177045,0.23898583050674105,3.069742120424121e-05,0.9861106561185393,0.9999795016756998,0.9999756590445736,0.9999635710639556,0.999994453811693,0.9997445184600362,0.9999966743881116,0.015416730113580862,0.26633216580379465,0.10819747292422623,0.24979818630579023,0.03577003044750949,0.9971450089931883,0.9509549272593543,0.9985096306953865,0.9862139100169712,0.9988293026464751,0.00409392102335288
cube,rgb,0.37879782586935323,0.015378113677418008,0.9545572742444333,0.001770671657560281,7.433673438195229e-05,7.609827290216765e-05,7.291547349237765e-05,7.193287689598775e-05,7.034409229930332e-05,6.700629834702878e-05,0.9957806117948402,0.9962098836638228,0.9999568634951683,0.9999695430056873,0.9999918205621098,0.08772335923081327,0.19344463858169691,0.10924713290461148,0.09540847490154347,0.07891949995581013,0.04930611420117254
cube,shape,0.0026582907829538916,0.00017933482258645676,0.0005799007200239749,0.8684893325438314,0.00558652281183725,0.005586522811837269,0.005370042712901265,0.012302475779987826,0.001386340128415615,0.09178889521156744,0.9999887374528477,0.9999751050242164,0.9999912510741684,0.9999866804910029,0.9999452269998752,0.002317746298363134,0.0023084561470032962,0.0029407471502438066,0.08098215507122783,0.0031524260238548754,0.41040642462926324
cube,object,0.0013538768035904808,0.00015488637125671563,0.0002554134325237181,0.18705993457240944,0.0031783996346357573,0.0031280217980712427,0.0026435939502061304,0.0073147268730754935,0.001473792854279316,0.04212351170501716,0.9999734210339555,0.9999508996944643,0.9999732418392027,0.9999762528672195,0.9999019618705564,0.0018407270694203667,0.0028669746299529075,0.00320196213192774,0.08574913611376722,0.004368243440402753,0.369202579173785
cucumb,rgb,0.030660271954487103,0.028281293178252634,0.0006421299673526362,0.006476683940279158,0.8742398159837518,0.8633005879067323,0.8576376538722836,0.8416261742505948,0.8039781710851541,0.7895995372258112,9.47754794271071e-23,8.570785839843381e-23,1.721049064694484e-24,1.331591173588485e-24,4.686148246129123e-25,0.9999112827919874,0.9998860901623474,0.9998935614361938,0.9998368289345779,0.999799987960175,0.9996073500721272
