Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_2,0-cube/cube_3,0-cube/cube_1,4-cube/cube_2,4-cube/cube_3,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_1,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_2,1-banana/banana_1,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,4-cucumber/cucumber_1,4-corn/corn_4,4-corn/corn_3,1-cube/cube_3,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,2-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.013053469771466026,0.10960484462024908,0.011127218697223449,0.0095031201105019,4.728428681249318e-10,3.508773885530385e-21,0.9999999973839531,4.8110482785393074e-09,1.3776103038249904e-18,0.01274150264258326,0.014415592715785576,0.12410449341258302,0.10775415144827125,0.09775549595298147,0.006063702007725475,0.007792455239643622,0.9999999976694647,3.6800478845085654e-20,1.0671571954892966e-08,0.0003480830877115997,0.001163947114866216,0.999977001680415,0.9999802326312779,0.000314958848957066,0.9997066653710839,0.9999990213063105,0.9999925594901217,0.9998408451771273,0.0009196296201555187,0.00017342940394241073,0.00028842899880087905,0.010252309792945434,0.0003138843509302357,0.0010135785912155219,0.00044354540910589087,0.00045118797493717236,0.9998894055739569,0.0002490633442077923,0.01298837272380356,0.014592986611082468,5.000777390561779e-21,6.595734593743865e-10,0.999999997679347,0.9999999977089107,1.1180096945036107e-09,8.950325433516925e-21,0.000276696159763095,0.000672941601273845,0.00042526312463106154
banana,shape,0.8617173919336361,0.9469660834886797,0.0201596393864446,0.034717640761142435,0.974590556348634,0.9914670466028852,0.9133003479082518,0.637478230323774,0.43154157810075466,0.005368916773741446,0.8293071952545183,0.514772966730359,0.3494719161327721,0.0001504148690852269,0.01186180628403853,0.0001251281346643916,0.6206099243659305,0.2546644976226567,0.10842933715703847,0.538516362962483,0.0001034252942038069,0.9999642779972214,0.9997026958575925,0.0003680545514634247,0.9998610818617104,0.9999083116153501,0.9997494657300288,0.9999270024931006,0.00012067692959398297,6.848805548900078e-05,4.053354769886546e-05,0.8903883021013498,3.3636241795156855e-05,0.013173785226618676,0.0002947666922739947,0.0004967522049261157,0.9997476898305939,0.00025130953703360326,0.835216986030015,0.40921133720114394,0.974453140166351,0.18076669751400434,0.7206726907052535,0.03621343185301829,0.09280451018626043,0.5156058933817816,0.00020437325197814922,0.00024656697705768865,0.04591102058612351
banana,object,0.23778526134841071,0.523709436550922,0.005943549354034507,0.008421663152292076,0.013128788936430739,5.630455804176437e-07,0.9998303396384857,0.0021434065206615014,1.4351492347631215e-07,0.002484693232147114,0.2544632898530806,0.32881904275225704,0.09810288969182233,0.00040544559622881165,0.0033643433128164374,0.0001865549816680297,0.9993617516923162,2.2361562061236837e-08,0.0006843970169489054,0.07160238809230313,0.00010449410605675063,0.9999437845457791,0.9998099537480425,0.00022630657063922607,0.9998855678823908,0.9999499120734875,0.9998656460576313,0.9999642389532527,0.00011907967443780663,5.1506039426800344e-05,3.438914699576384e-05,0.2954503317533829,3.1783350203829705e-05,0.0055078257673761505,0.00017558730590172964,0.0003290691246917158,0.9998056359051974,0.00018201839008210065,0.3248294087075132,0.1283822588394175,3.6135845101896517e-07,0.00036323767365850304,0.9995701813190656,0.9920593544078282,0.00026725680297301447,3.313647734997392e-08,0.0001502870102468131,0.00019853864256887897,0.005200037176606944
block,rgb,5.915091785271621e-05,5.527151455527271e-05,5.945276621464031e-05,5.982448458923769e-05,0.9998010357428433,0.9999999996078419,0.9973314562257397,0.9918193756411622,0.9999985858023146,5.921630890279182e-05,5.8899071362932036e-05,5.610388386097747e-05,5.89945580530839e-05,5.848503351533714e-05,6.407013066347941e-05,6.044291514681261e-05,0.9958294055296415,0.9999999850858958,0.997467952812017,0.04889004560796929,0.08211105339561758,0.0008405297886114789,0.0009418696953383437,0.023169687162088434,0.00031432594899608024,0.008414289834977147,0.0018401423454348508,0.0004258590351790478,0.21728209197933698,0.06459463096098184,0.03807280030825854,6.258424405170323e-05,0.02258905204465771,0.09760302481006143,0.02341185102578452,0.012151174807432809,0.00038320138429263234,0.011152400124348065,5.624963891871609e-05,5.903368411680431e-05,0.9999999990879622,0.9994828103469608,0.9971317401848786,0.9971611709102296,0.9993671921773571,0.9999999975525573,0.026827265980267835,0.11997173792384232,0.07227216936979243
block,shape,0.24173397565309176,0.06007781836640548,0.006519155411197375,0.007683246637489292,0.9999825103893539,0.9996671328354426,0.9999638899846783,0.9996879406120505,0.9999972823624276,0.017127370505873714,0.12788632108725753,0.9997782004742656,0.24391826641989514,0.01494216203867382,0.021950616502353037,0.005178393092309207,0.9998832710764168,0.9999729818311616,0.9999618021508073,0.0006323536704713167,0.9658455651011975,0.00038030953078309815,4.913571370175741e-05,0.0024330376612283515,7.070689954913566e-05,1.876130999084184e-05,0.00013236747969974034,0.00012420062248530073,0.00813535077559864,0.4180826228938737,0.007847333252977755,0.04391947050596885,0.07885393611974512,0.9999887609437377,0.0003368705378670292,0.00024597422072406705,0.00016326667419858123,0.9999898624459477,0.0064964390239805134,0.99691719853663,0.9999499111020739,0.999993799581492,0.9999537135544189,0.9999793814465214,0.9999566737889194,0.9999706660861597,0.007346157919848816,0.004772704860583361,0.0028630850746648806
block,object,0.1333311508415621,0.03774138599739987,0.0032219811142864267,0.003488109882871445,0.9999812122877509,0.9998689027304428,0.9999320884527196,0.9997507537368145,0.9999994374929033,0.009509616315958359,0.12146446035590769,0.9989836258477007,0.13994277250482107,0.01392099375806469,0.012909959522214838,0.003188141885929842,0.9998235213453945,0.9999979350153889,0.9999693923692055,0.002573836365984283,0.9083341456036789,6.716418696165377e-05,3.9751993782560495e-05,0.002485984008605327,6.39136662634307e-05,9.71375729831625e-06,5.219122354679098e-05,0.00011234972808577531,0.008897448252319343,0.27293211523020394,0.007727957732558835,0.03467713490755016,0.05992966122724696,0.9998368580112281,0.0006939409969186106,0.0007400025592293472,0.0001263584453137498,0.9998733321669646,0.004450368040140574,0.9847097469951962,0.9999974844897583,0.9999959606028045,0.9999133643491492,0.9999638069021745,0.9999688930207181,0.999997275426581,0.006295732709716217,0.005075902561799406,0.0032756526068193725
corn,rgb,0.9999540527512972,0.9989257191566984,0.9999644265367258,0.999972361708372,0.9934749432039777,1.0,5.507108637079762e-14,0.9969741812538693,1.0,0.9999557298459094,0.9999464721923824,0.9986348408807026,0.9987169429169673,0.9989238770574804,0.9999836760331496,0.9999798049508672,7.518203742053283e-14,1.0,0.9704131004171688,0.7453736677200513,0.25967828121003567,2.301953758011485e-05,1.7338735243880965e-05,0.907410900040582,0.0007542505462521311,1.0512293087731355e-07,3.2403763056753015e-06,0.0002810692912297464,0.10138335122707624,0.8176833931182406,0.8399940377994202,0.999962185302858,0.9108788955520313,0.2435827756284983,0.8646748914075157,0.9439871339588873,0.00025686202648142616,0.9757515715102355,0.9999627134230394,0.9999448667019779,1.0,0.9960714857826778,5.4689308353763786e-14,5.3830393715719964e-14,0.9935283050153699,1.0,0.9021641980409341,0.2764439929761126,0.5702588431452974
corn,shape,0.9999933095999627,0.9999325336428312,0.9999809302147699,0.9999958449182985,0.08771867771019934,0.04638360271204764,0.07786388721957947,0.9817166413355494,0.9778335017432521,0.9999943494533912,0.9999375334064723,0.9996574148568609,0.9999874526390817,0.9999725361032151,0.9999985946109136,0.9999561570704285,0.6595103093496748,0.9815118282911652,0.924654337231838,0.010479962460282162,0.9980053702987428,0.021871071378246693,0.00012391315313124606,0.8377839868491342,3.797856333660987e-05,4.531576138987002e-05,0.03699307444486902,6.78697958854661e-05,0.9980356404949957,0.9998096044041356,0.9975446838334939,0.999989244138117,0.9998969535559422,0.9401378472766524,0.6407751428882866,0.05236992667637293,8.554351990742189e-05,0.50576111088725,0.9999445297056856,0.9998568875739773,0.3327442388418382,0.7663729281358093,0.08281603571259227,0.9349678695710658,0.9220508759206264,0.8925732855578067,0.9999893911248755,0.999883815955244,0.978028186666875
corn,object,0.9999940930841398,0.9999255653911575,0.9999841155603902,0.9999952049375835,0.449111555484177,0.9999968106554941,0.00010946135908885144,0.9927101059673978,0.9999999018847571,0.9999938904453772,0.9999510578822158,0.9997032638980544,0.9999807029270386,0.9999590360640234,0.9999984608767497,0.9999609759009038,0.0016132649130707962,0.9999999695494626,0.9619129875502866,0.042837839236190986,0.9877018467142299,0.008446395020207702,8.596473401026956e-05,0.9067323864734362,3.3648109508115683e-05,2.3398214193675748e-05,0.004520184810410634,5.728837365071663e-05,0.9831881948776681,0.9987502433008155,0.9914090690069368,0.9999909365948425,0.9994567396399747,0.8630485591329357,0.7350515646725233,0.18612193128399396,7.382868950861382e-05,0.7161085078747945,0.9999510661059703,0.9998993300496147,0.9999993277281304,0.9424279288755653,0.00011193149483156991,0.006792799895931016,0.9750123902733387,0.9999999150287363,0.9999092022742992,0.9986550252005819,0.9712778327429127
