Token,Type,0-arch/arch_4,1-arch/arch_4,2-arch/arch_4,3-arch/arch_4,4-arch/arch_4,0-banana/banana_3,1-banana/banana_3,0-cabbage/cabbage_3,1-cabbage/cabbage_3,2-cabbage/cabbage_3,3-cabbage/cabbage_3,4-cabbage/cabbage_3,5-cabbage/cabbage_3,0-carrot/carrot_3,1-carrot/carrot_3,2-carrot/carrot_3,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_1,1-cube/cube_1,2-cube/cube_1,3-cube/cube_1,0-cuboid/cuboid_3,1-cuboid/cuboid_3,2-cuboid/cuboid_3,3-cuboid/cuboid_3,4-cuboid/cuboid_3,5-cuboid/cuboid_3,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3,0-cylinder/cylinder_2,1-cylinder/cylinder_2,2-cylinder/cylinder_2,3-cylinder/cylinder_2,4-cylinder/cylinder_2,0-eggplant/eggplant_4,1-eggplant/eggplant_4,2-eggplant/eggplant_4,3-eggplant/eggplant_4,0-lemon/lemon_2,1-lemon/lemon_2,2-lemon/lemon_2,3-lemon/lemon_2,0-lime/lime_1,1-lime/lime_1,2-lime/lime_1,3-lime/lime_1,4-lime/lime_1,5-lime/lime_1,0-orange/orange_1,1-orange/orange_1,2-orange/orange_1,0-plum/plum_3,1-plum/plum_3,2-plum/plum_3,3-plum/plum_3,4-plum/plum_3,0-potato/potato_1,1-potato/potato_1,2-potato/potato_1,3-potato/potato_1,0-semicylinder/semicylinder_3,1-semicylinder/semicylinder_3,2-semicylinder/semicylinder_3,3-semicylinder/semicylinder_3,4-semicylinder/semicylinder_3,0-tomato/tomato_4,1-tomato/tomato_4,2-tomato/tomato_4,3-tomato/tomato_4,0-triangle/triangle_1,1-triangle/triangle_1,2-triangle/triangle_1,3-triangle/triangle_1,4-triangle/triangle_1
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,plum,plum,plum,plum,plum,nan,nan,nan,nan, , , , , ,nan,nan,nan,nan,nan,nan,nan,nan,nan
apple,rgb,1.0,1.0,1.0,1.0,1.0,0.004541635179354516,0.008951405476196156,7.491069075761692e-10,2.527260055775615e-08,1.7071613220792928e-09,3.6297775388108903e-09,7.966413519510603e-09,8.157512122827746e-09,0.9931794587198459,0.9997150108924739,0.999649884248369,7.887709876431671e-07,8.112259701521292e-07,1.104979062458896e-06,1.1265826503857508e-06,0.00010758233346292939,0.00014538791760785314,0.00014713431003420723,0.0002206733831712841,1.0,1.0,1.0,1.0,1.0,1.0,1.679019927584791e-17,8.210993778936025e-18,1.5789925062456526e-17,3.194899819733912e-17,5.2341896302637035e-17,2.1960017154989539e-16,1.0,1.0,1.0,1.0,1.0,3.0208091486317607e-09,8.657324993980505e-09,1.1796344262742863e-08,1.2502181205241068e-08,0.9999766935602235,0.9999934109230041,0.999993981514743,0.9999986930067637,2.5944253469493446e-18,3.780131642525291e-17,3.033621198977274e-14,3.623416628356743e-14,3.585637893309564e-13,3.6656962458777937e-13,0.9999999999386386,0.9999999999952986,0.9999999999968383,0.9996198915768724,0.9999874824602389,0.9999999379611902,0.99999999261973,0.9999999999705038,0.9999999999976423,0.9999999999994957,0.9999999999999363,0.9999999999999365,0.00017145718073910431,0.00019287464712933528,0.0003532425397733321,0.0002555979903385243,0.000684786131372579,0.9999999999809648,0.9999999999653302,0.9999999999999232,0.9999999999999911,1.0,1.0,1.0,1.0,1.0
apple,shape,9.46216685323775e-05,0.0002346390680600019,2.0463839868905183e-05,6.490543455668254e-11,2.4023290839786098e-06,2.0496742285831293e-05,4.674195057200665e-12,3.3459797461493017e-06,5.875588392785296e-06,8.135954534213783e-05,3.972715019373621e-07,3.972715019373656e-07,1.457217429216094e-09,1.6659511839765075e-13,0.0014456339626659916,4.001267516448203e-10,7.1246590138412005e-09,0.00022839333584278034,0.007985592087690141,0.0023254018287233486,0.0002466046856611096,0.0012451500703823182,0.0001429087596654165,0.0041678986459941616,0.00043156935917561636,0.0003724747993911083,1.423797419332644e-07,0.04082406886522144,3.96022581708317e-07,4.2615416054852015e-06,4.824081885994455e-11,3.1523579733227154e-10,2.11166094771442e-10,2.3056078011031884e-09,2.2727703232071303e-08,5.0858061720760535e-05,0.0004307078735283482,0.00035788621838291366,5.754212182118294e-05,0.00011460205821990451,0.0006857909807656433,1.42269449805773e-07,9.915799274259187e-06,3.97371033214624e-06,1.7441332132701893e-05,0.9860801393722448,0.970679601979955,0.9958329248065697,0.9986268478454436,0.9994479604544384,0.9995521516440263,0.9786123975263045,0.995951729785609,0.9977634196049726,0.9944154453005305,0.9996748697943211,0.9688540858385591,0.9991153812861203,0.99991963518968,0.9999976391925914,0.9992500223349251,0.9995550036968154,0.9999933162818141,0.9998841653068192,0.9999773629410724,0.9999919137029248,0.9994823190514633,0.01218960903828282,0.03512201866445264,0.0005106858755707534,0.001735130226529517,0.0037468074001156195,0.6585902763947084,0.6300032996338312,0.9983998543667627,0.8125725369309302,7.151049051166282e-05,0.0007449731059741568,0.0025376287826693253,0.8600869567201787,0.0011846868441728802
apple,object,0.9999999938569857,0.9999999973227849,0.9999999847816545,0.9999999324234926,0.9999999666223687,0.00012349810083636583,1.995147328580626e-06,0.0024895151685434026,0.010644260654202682,0.003290725895198102,0.0006560496361536982,0.0007883356861695139,0.0015437965151315087,0.04085137001749512,0.5441028520365604,4.618768568411986e-06,0.0007526476161184971,0.022255210291503777,0.042222723911819006,0.4852267459511652,0.4872660673331862,0.5915883920499937,0.4149932493333373,0.5270866902801715,0.9999999996383324,0.9999999998979523,0.999999979088039,0.9999999998707667,0.999999992373417,0.9999999988631898,1.5260405017150284e-07,2.8190702591422725e-07,3.6001778515390475e-07,5.4269870196759225e-06,1.853234417825358e-06,7.538414132968188e-06,0.9999993077640943,0.9999994043279041,0.9999999908391265,0.9999995161937607,0.9999999987725585,0.0003410255635871054,0.0011954652334931837,0.0002563840470011653,0.0005652458000465225,0.9984388773757733,0.9901103060259316,0.9971148877779008,0.9994506980695061,0.026465276180280967,0.09610670580934248,0.1561060422111154,0.22799674791240432,0.29659003704635134,0.1347641163185058,0.9999775401740869,0.999797604101456,0.9999897403516494,0.9999056214680333,0.9999845470326372,0.999983409088044,0.9999926840277316,0.9999973600920795,0.9999781254071597,0.9999753789101301,0.9999971532198142,0.9998100404805215,0.26932636036387014,0.15224142567921137,0.30878854688526425,0.27942550019106394,0.12310138988455491,0.9997026156048221,0.9998129494177914,0.9999747039951964,0.9999583611736439,0.9999944282504712,0.9999999605823924,0.9999999996931686,0.9999999979855363,0.9999999999355111
arch,rgb,0.9999996960185102,0.9999997400610702,0.9999998693679435,0.9999999416325546,0.999999851083508,0.005728139425563542,0.00904101971117844,0.2171412284105183,0.31740205386899384,0.1600310804794821,0.16466577846197486,0.16893392452157796,0.16801112633899826,0.011613489982426577,0.011871941311247441,0.010566259142029535,0.014250026458920421,0.013896070886694747,0.014147017873949716,0.013675843864434812,0.24339903990558334,0.2394103075843579,0.24021633669052278,0.21491611101215383,0.9999850114379921,0.9999991011405355,0.9999995665292272,0.9999994886002237,0.9999996279376343,0.9999998956529572,0.05669850880484289,0.06192547636853342,0.05662499744537595,0.05161630832370656,0.0485130276428069,0.040648432114485634,0.9999641751547903,0.99996516664628,0.9999800686009349,0.9999738394895316,0.9999833905012063,0.03434655627849946,0.017395044721825823,0.01638681440403248,0.012164354567604365,0.37228704029368204,0.4053528770762519,0.40560850268303494,0.4387777323177473,0.21128684326799851,0.301452865136701,0.21506718743314232,0.2948114162484496,0.29759899362315395,0.17410416884553861,0.1314764158315139,0.07621569720947423,0.2939196539083975,0.06494098214380357,0.05619304822994087,0.09268330977674075,0.06657410558495537,0.07593468711937733,0.026639572930959858,0.03138999351961122,0.044735670756378326,0.04461794269760245,0.2161339694874379,0.09018517600631909,0.23140984669587764,0.08312682328036103,0.22609475757297842,0.018799152442997166,0.019566327156550115,0.12257512617822279,0.062331084755059385,0.9991231116130073,0.9999690005267537,0.9999971064922248,0.9999973389916186,0.999997446099605
arch,shape,0.9999604636981532,0.9998899798944361,0.999904272561831,0.9999997935030731,0.9999999240030546,0.004492981874080877,0.00016341180092200447,0.9599763462359041,0.9936701757113283,0.9979415714494404,0.9996914214608734,0.9996914214608734,0.9795244100963895,0.9994494820106916,0.23686131398033797,0.9126383048555665,0.013476773035898861,0.029503067579057535,0.9497024361749061,0.0006055733055758852,0.30372384396632496,0.6217584283553983,0.5777639184956793,0.17039518392291483,0.4895777641949747,0.6110606195425766,0.6539815164184818,0.6562236059753921,0.48659311548861234,0.9803324767264716,0.00010190078168692439,0.0057465464924314836,0.0002831753098161941,0.004476266892162144,0.00021944061945285728,0.06852725612627351,0.04969382052567039,0.03194341133719278,0.0009281121688621286,0.0002188371613909013,0.01705918071879776,0.9999999991290129,0.9997979970720388,0.9999999631356378,0.999977727325612,5.738664624045599e-05,1.1010200528480653e-06,6.288839489894602e-06,1.0783604503798838e-05,0.00022045891851862952,1.2654475682978786e-06,0.003609106450743206,1.928059905420085e-05,2.2278059756313486e-06,1.1240707436371856e-06,6.00728004609534e-05,9.173979694887127e-05,0.000194631855455319,0.005586682945513103,0.0006496347036614274,0.0067691038887350416,0.0003157905147325672,0.0015367470731442734,5.166232527375231e-06,5.195804220123265e-06,1.0518699766988729e-08,1.3085471763575545e-06,1.885218240729163e-07,0.037052710095911004,0.013748158147622605,0.7954144960795527,0.4691904794139323,4.970169548728874e-06,1.0479621981410008e-06,2.3497614751409857e-06,4.839228759228729e-07,0.7601477335350416,0.018284757371763025,0.017628332320267694,0.1545586473796291,0.042990439166929184
arch,object,0.9999999998852156,0.9999999217286412,0.9999999912191898,0.9999999999864564,0.9999999999874487,0.00013890986457330902,0.0015394949950442367,0.999870819002851,0.9999847204490809,0.9999526842198304,0.999992426707732,0.9999931296298642,0.9999871284782899,0.999006881900843,0.8788286164960863,0.9846857787107787,0.007354592002965323,0.015272465683645027,0.3984266374051465,0.14990403198881253,0.169543230455088,0.33649379482249975,0.669401325793901,0.18123620599813173,0.9999870139392815,0.9999944028929033,0.9999983375948154,0.9999800471658371,0.9999857402648415,0.9999988504924942,1.757219769466776e-05,0.0012957585418989972,0.00010287213591132007,0.0017934636528556458,0.0002521026223206459,0.004646173306466465,0.9988057678730592,0.997247231238114,0.7723110380143917,0.2577775245191807,0.9845877395048371,0.9999848169003476,0.988510537059955,0.9984034082740898,0.8961196436761877,4.619803411499906e-06,3.555714059105587e-07,1.7953257082820017e-06,3.865765630003835e-06,0.0002283820339880911,3.2028232285009455e-06,0.006795296627353377,8.183151231473504e-05,2.5586321984539936e-06,2.1183225503047218e-06,2.045105977532315e-05,1.9289646046603314e-05,4.024018986699458e-05,0.7803464181815094,0.14087564662507723,0.8476080495801376,0.2077001300058829,0.3828148921385571,2.8925607839475816e-05,7.967539704142354e-05,1.2333116833722091e-05,0.0004392032474408771,1.6374337547189737e-06,0.0008453982038675392,0.00019861273432461105,0.03474408010649049,0.015890532339380373,6.951150307380911e-05,1.805886248736786e-05,7.43381815782675e-05,9.715848711830544e-05,0.9999957943367297,0.944889294992475,0.9989531014686043,0.9626419571690285,0.9958192615305045
banana,rgb,2.9978708726616235e-07,1.5249610504946167e-05,1.186536257540614e-05,5.131568325338131e-05,0.0003468922388458453,0.9999678591171192,0.999999588971215,2.751698051534505e-06,1.5426260692888427e-07,6.751859525610861e-06,4.4628777011889955e-06,2.977568188068846e-06,3.015219575737009e-06,0.0016115431307517395,0.0014695550304361484,0.003346383228817085,0.04296817241635888,0.04971921658171925,0.03874331010067264,0.0475680999603987,0.9999999999997047,0.9999999999996776,0.9999999999996809,0.9999999999995159,5.270093894905197e-06,4.261802025789194e-05,2.472206811614543e-05,6.425604686442654e-05,4.572063757635495e-05,3.2253880441174534e-05,0.9999635112508791,0.9999960267287307,0.9999823947087342,0.9999837676193405,0.9999788560469673,0.9999656071830813,9.711096519714439e-06,2.004793714472314e-05,5.7511307680699926e-06,1.2899455586981651e-05,1.909662613687103e-05,0.004277513748044642,0.1117984706961232,0.13636125194736853,0.6053634034814979,0.9999999999962597,0.999999999996048,0.9999999999959441,0.9999999999952025,0.9999999999653841,0.9999999999985629,0.9999999999989266,0.9999999999997353,0.9999999999998253,0.9999999999984219,0.9999999678723318,0.9999983384122897,0.9999999943568958,3.102259611573672e-07,5.140748261832025e-07,7.73298003269117e-08,3.965828121159241e-07,5.990653981485012e-07,0.002762233248750034,0.0019861090047438926,0.00034422301421137654,0.0003542153461823246,0.9999999999995375,0.9999999999914546,0.9999999999996014,0.9999999999883975,0.9999999999995344,0.9804047132460164,0.9958133489038117,0.9999971875024227,0.9986223246843264,3.8007095148575373e-06,2.6395706825478633e-06,9.408636935770004e-06,1.0327559802170722e-05,1.0808923071563285e-05
banana,shape,0.0006344968310711088,9.107714159029749e-05,2.321085180233373e-06,0.0004602507062555653,0.00011740776334364636,0.9999026160033451,0.9999586932812241,3.258614176141887e-05,2.381700901522094e-05,3.504795119987262e-05,0.0010652810954655289,0.0010652810954655289,8.629507261675947e-07,0.0016306289559460782,2.8967119856255226e-05,0.9958084943115992,9.377199034324568e-07,2.698693205003606e-05,0.0006272629124147077,0.00018854701939510635,1.0043202733835075e-06,2.213145903807834e-07,1.7874111432182263e-08,8.512033019407156e-07,2.8489189189575104e-07,5.32433018153398e-07,0.00478524825274942,2.1463795257184254e-05,0.00012268884180670076,1.4279294600282635e-05,0.9599775475458675,0.0022643026247644283,0.2993857007307748,9.836007480283774e-05,0.003694522355588422,0.0003387984477823018,0.0028731766303545917,0.0006150802827204651,9.046131163952819e-05,0.0069836109435827,1.260494937330406e-05,0.000323950084318855,2.4886752847563765e-05,0.0001016074644953997,4.0827507269790645e-06,0.003975619094358028,0.02637184479780137,0.035681655824886575,0.0714769116400008,1.7238598306321048e-06,2.9961179146752395e-05,9.514345842901815e-08,7.467002951749007e-07,0.0001269760774137943,6.6327869457330585e-06,0.2317625707320458,0.02681860305861515,0.0038777081288138603,2.403696957117187e-07,5.76358243966478e-08,3.135936205362883e-07,1.3268448668626159e-06,1.7614394999818856e-07,0.8452261106512393,0.9757248841559938,0.9848509010487241,0.3906405957431276,0.6120488201729726,0.002233864483744206,1.9566980985350845e-05,2.6135392849936236e-05,0.0002995618943981582,0.22916516837218623,0.3733329473496626,0.06517839383775317,0.11489330661855254,1.0897757934897166e-05,4.473651822798489e-05,0.0002764518557423583,0.05825921817499972,0.0006641759937299962
banana,object,1.7016997175725175e-06,3.799232154757594e-05,2.0169967846995748e-06,0.0002912521926135399,0.000584527839080841,0.9999454834523607,0.9999920689482433,7.157454823766083e-06,4.3987404297682275e-06,8.829329835165456e-06,0.00016219920663276352,0.00013730232781378041,1.3763041635146206e-05,0.24027313164386666,0.008077363830316972,0.9636977313349304,0.45877957619042464,0.6236390110741091,0.4498630381295844,0.2363111265365381,0.9947626468238789,0.9878956517985935,0.9938976988052984,0.9981600383713912,1.945269197194452e-06,3.0255142311181295e-06,0.0008695889962436198,1.6698545425792972e-05,0.0018280997517612742,0.00047487957087950913,0.9998271762521197,0.9996502318270319,0.9996878071003912,0.9985036363880198,0.9992096839004851,0.9832101570066903,0.004827062568207856,0.0039672196106694205,0.0016930930964634964,0.0034315713273914894,0.0004089456006861397,0.1521976418041461,0.3115129074745479,0.2911976483133856,0.43617438738182024,0.9999733748934994,0.9999888043894269,0.9999811382235003,0.999979500441341,0.9938994911167331,0.9991810235435876,0.9917628037730535,0.9972014540155485,0.999855254107582,0.999432287355097,0.9995937938611495,0.9978292439672234,0.9989224254979022,1.7395253272636694e-05,1.5099206322065802e-05,2.1608117053585378e-05,4.5714444055943915e-05,1.201640219492685e-05,0.8022437807668047,0.8709748424018495,0.772276852676137,0.5682748320758239,0.9999995839277197,0.9999718029174435,0.9999510545360913,0.9997468899291897,0.9999714437264385,0.9802591913340845,0.992466166614122,0.9986157788275974,0.992008865589784,0.00013785480888348114,0.0003756074048239224,0.00021194160913405943,0.0009685515361484151,0.0007598604360140152
