Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
cube,cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_2 (nan)      cube/cube_2 (nan)      cucumber/cucumber_3 (nan)      cucumber/cucumber_3 (nan)      cube/cube_2 (nan)      ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,cube/cube_2 (nan) cube/cube_2 (nan) cube/cube_2 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - cube,,,,,,,,0.975,1.0,0.9666666666666666,0.9800000000000001
 ,,,,,,,,,,,
like,corn/corn_2 (nan)      ,corn/corn_2 (nan) ,corn/corn_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,corn/corn_2 (nan)      ,corn/corn_2 (nan) ,corn/corn_2 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
