Token,Type,0-banana/banana_1,1-banana/banana_1,2-banana/banana_1,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cucumber/cucumber_1,1-cucumber/cucumber_1,2-cucumber/cucumber_1,3-cucumber/cucumber_1,4-cucumber/cucumber_1
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9984471744649874,0.9993215287260167,0.9993531346511816,0.005711834997077534,0.006617121866773754,0.005638065094255948,0.006893734618800834,0.13713935177431208,0.0891804448400967,0.1277418311436921,0.323523174556061,0.061211291870922314,0.9656888949211208,0.9067207506302868,0.9090578790123179,0.4480441357951265,0.14135660062369965
banana,shape,0.9998782373980571,0.9998899145320848,0.9998515945162746,6.712009303288502e-05,0.00018057241640167507,0.003447549468407769,0.09611199693027567,0.9944687947813325,0.9278507321215907,0.5998138811164005,0.5869003574276304,0.2645926526801105,0.04767432149800377,0.002090988811525537,0.045782974659549745,0.2592876620999742,0.6531999549951216
banana,object,0.9998831538720122,0.9999118876059876,0.9998759091584994,0.00016614543358470075,0.0003265987920462329,0.0012578211202739506,0.053738401227614,0.979052617701614,0.8567165722563775,0.6411354044312517,0.7274349397250592,0.18871409988649543,0.49900628006886205,0.07278200480800884,0.47018812744486704,0.25999743794511854,0.6650656747930734
corn,rgb,0.9999999071802927,0.9999999407163773,0.9999999284211276,0.9999740430993096,0.9999763388528499,0.9999714152097631,0.9999749379557847,0.9999999999672455,0.9999999999417992,0.999999999949241,0.9999999999532774,0.9999999997977886,0.9999999997282585,0.9999999993677982,0.9999999991742032,0.9999999943724325,0.9999999799910371
corn,shape,0.015411654813407685,0.9730263818277498,0.0002734266076352575,0.9999615762106158,0.9999900096477154,0.9999339493326644,0.9990585526104939,1.943334749334291e-06,1.7443672940236455e-05,0.0002856571924397175,0.0007616921468512648,0.035668409813808345,0.9920036434715387,0.999661327387663,0.8052377584967915,0.9988774771029881,8.736684863682078e-06
corn,object,0.9962377588971348,0.9999241106775356,0.9674712689832837,0.999980990377873,0.999992884250669,0.9999796453644209,0.9995014600846666,0.7847017311666514,0.900475374427945,0.9853406423196969,0.991935956289349,0.9984839350527179,0.9999969904627873,0.9999991699009861,0.9999431933151235,0.9999968568082216,0.638183631317114
cube,rgb,9.920472297797404e-06,1.5259089746719944e-05,1.349453536518414e-05,5.318576486300096e-07,5.435568134001478e-07,4.964669382864588e-07,5.133553349032865e-07,0.9996009328024411,0.9986890008987025,0.9983787559913334,0.9921425263624171,0.9631615504525751,0.026584929008589164,0.010561791071321137,0.006397163642573149,0.001083710953028729,0.00038661191505893214
cube,shape,0.1332704936180547,0.9699738485365229,0.8565784934986684,2.1014919410171263e-05,0.012713458492213397,0.02392049420875225,0.9999294742195206,0.9999646134714515,0.9999928476053965,0.9999607557381366,0.9999566621257708,0.99970219284718,1.5888768583511977e-05,5.333683949751239e-06,0.10707672127431693,4.534780588570659e-05,0.9988211479835749
cube,object,0.06575887371196562,0.9097089288280058,0.6525108384899239,1.921566232136942e-05,0.008997417439417413,0.015286241804254285,0.9997989520578585,0.9999535183298769,0.9999895345001198,0.9999528799957282,0.9999470263084003,0.9997010683573387,1.6155251783462908e-05,5.651799437563882e-06,0.08168678428468593,3.756003411485027e-05,0.996756143752862
