Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_2,1-corn/corn_2,2-corn/corn_2,3-corn/corn_2,4-corn/corn_2,5-corn/corn_2,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9989993455178593,0.9979086002990488,0.9999913932938647,0.9999929284456807,0.999991863265835,0.9999922626072832,0.9999929204345541,0.9999920452445542,1.721809957506554e-23,1.4059749158108152e-23,2.083277179846388e-27,1.3112750578025182e-27,9.297384112940273e-29,0.9999999207596514,0.9999998832523774,0.9999999091670904,0.9999998973703649,0.9999998953790527,0.9999998809784618
banana,shape,0.9999631007860798,0.9999836773612556,0.9998416102963112,0.9998416102963112,0.9999457507967127,0.9997767728052056,0.9999363962247596,0.9997711989262498,2.3232408813098114e-05,0.0006380842312237364,6.745175709082284e-05,0.00013056902575685805,0.0006427656527646582,0.9999598159790356,0.9998409627571982,0.9999368773353854,0.9977402904277672,0.9999393273341582,0.26068764875181083
banana,object,0.9999782381761458,0.9999895978469568,0.9998809007809922,0.9998812797226646,0.9999313718454109,0.9997670273160089,0.9999139228703777,0.9997131466828723,0.0027914791594066592,0.12524629792982697,0.016546324206883598,0.03435153232716285,0.11947609680454856,0.9998713450263998,0.9994641151904655,0.9997830811013692,0.9891392057790711,0.9997332653905124,0.12649521141927197
corn,rgb,0.9946416338111607,0.9877241973533453,0.9997014288243906,0.9995875919305546,0.9996758644265308,0.9996488936196475,0.9995889863908074,0.9996662718326558,1.0,1.0,1.0,1.0,1.0,0.0001077754840546512,2.6561047894606357e-05,7.427625364322809e-05,9.990018484277032e-05,0.0001431170187651563,0.0003541719254571435
corn,shape,0.9633500090498783,0.9999989571942304,0.9999763015530544,0.9999763015530544,0.9999623021272317,0.9999787667083808,0.9999965966475074,0.9999918474886589,1.073436677692207e-05,0.0005283532297613746,0.000265789989525681,0.0005144357138106934,0.0004517766031893773,0.9998805580427712,0.9911726571009198,0.999923223731229,0.9828528113223032,0.9999972722782782,8.125483985185652e-05
corn,object,0.9990681900784469,0.9999994092487611,0.9999741683919688,0.999973180105017,0.9999786911555477,0.9999728443228811,0.9999967158766191,0.9999945183030851,0.19094827706430642,0.9376634618851964,0.8839272503592589,0.9380029926976821,0.9336201671643173,0.9990499819739056,0.9562387060325348,0.9989546887747995,0.8957495662479348,0.9999467505994469,0.00018212492808545054
cube,rgb,0.0074944695806735346,0.016363311376209482,0.0002615947343043125,0.00027855573618040883,0.0002632341602829787,0.0002656336826262133,0.00027170551045890476,0.00025740970507126537,0.9961559702669717,0.9965113269966326,0.9999333131074837,0.9999521110713429,0.9999847025232382,0.23208314914379927,0.4323467689023657,0.2809259383913702,0.2580800001299141,0.22332914372451132,0.1553242292684105
cube,shape,3.804024203004734e-05,5.085718177138282e-06,1.9057367329888258e-05,1.9057367329888292e-05,1.4260767071818017e-05,8.998655907250557e-06,9.624787235258342e-06,7.823144695427778e-06,0.9999875633165972,0.9999608250109762,0.9999340716882494,0.9999140322296055,0.9999073825695834,2.3594971512392847e-05,2.992528170683753e-05,1.2092887299035489e-05,0.0003367435922116903,3.911888617097571e-06,0.914355749516195
cube,object,2.951347216948809e-06,5.321404422641355e-07,2.618690627394691e-06,2.6475282035431023e-06,1.7064738338710837e-06,2.0918777227920483e-06,4.440598504187088e-06,3.6201860837387585e-06,0.9999494016264442,0.999902265247201,0.9998926049401733,0.9998940872606082,0.9999098038767307,9.909206720565475e-06,3.0032573327112375e-05,9.954119317361934e-06,0.00032798748005693736,7.458065392660309e-06,0.6746090238555265
