Token,Type,0-arch/arch_4,1-arch/arch_4,2-arch/arch_4,3-arch/arch_4,4-arch/arch_4,0-banana/banana_4,1-banana/banana_4,2-banana/banana_4,3-banana/banana_4,0-cabbage/cabbage_3,1-cabbage/cabbage_3,2-cabbage/cabbage_3,3-cabbage/cabbage_3,4-cabbage/cabbage_3,5-cabbage/cabbage_3,0-carrot/carrot_1,1-carrot/carrot_1,2-carrot/carrot_1,3-carrot/carrot_1,4-carrot/carrot_1,5-carrot/carrot_1,0-corn/corn_3,1-corn/corn_3,2-corn/corn_3,3-corn/corn_3,4-corn/corn_3,0-cube/cube_3,1-cube/cube_3,2-cube/cube_3,3-cube/cube_3,4-cube/cube_3,0-cuboid/cuboid_1,1-cuboid/cuboid_1,2-cuboid/cuboid_1,3-cuboid/cuboid_1,4-cuboid/cuboid_1,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4,0-cylinder/cylinder_4,1-cylinder/cylinder_4,2-cylinder/cylinder_4,3-cylinder/cylinder_4,0-eggplant/eggplant_2,1-eggplant/eggplant_2,2-eggplant/eggplant_2,3-eggplant/eggplant_2,4-eggplant/eggplant_2,0-lemon/lemon_1,1-lemon/lemon_1,2-lemon/lemon_1,0-lime/lime_2,1-lime/lime_2,2-lime/lime_2,3-lime/lime_2,0-orange/orange_3,1-orange/orange_3,2-orange/orange_3,3-orange/orange_3,0-plum/plum_4,1-plum/plum_4,2-plum/plum_4,3-plum/plum_4,0-potato/potato_1,1-potato/potato_1,2-potato/potato_1,3-potato/potato_1,0-semicylinder/semicylinder_2,1-semicylinder/semicylinder_2,2-semicylinder/semicylinder_2,3-semicylinder/semicylinder_2,4-semicylinder/semicylinder_2,0-tomato/tomato_2,1-tomato/tomato_2,2-tomato/tomato_2,3-tomato/tomato_2,0-triangle/triangle_1,1-triangle/triangle_1,2-triangle/triangle_1,3-triangle/triangle_1,4-triangle/triangle_1
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,plum,plum,plum,plum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
apple,rgb,1.0,1.0,1.0,1.0,1.0,5.146944100111267e-10,1.1521594612409053e-08,4.060040129323465e-08,1.1698249703577238e-06,6.781495833519572e-10,2.2716590333964537e-08,1.551588677699071e-09,3.296474302917388e-09,7.229759949239488e-09,7.40367961074109e-09,0.9978084612965104,0.9997445349019767,0.9999365607311471,0.9999849215226357,0.9999998276156961,0.9999999838626346,1.7734346686589798e-07,2.079890707306559e-07,2.969410978194587e-07,3.092910614873435e-07,3.0602012624078824e-07,1.4659620089978652e-25,7.509502669786658e-26,7.602196554250429e-26,4.654231743273286e-25,1.7704821371914356e-23,6.735990542862898e-05,7.608872990537158e-05,7.723220934603703e-05,0.00010589572683786701,0.00011106281151184207,9.528198813111057e-17,1.8896285551573835e-16,2.872662737890691e-16,3.0208527294845895e-16,1.5561131665052016e-15,3.4809680728379536e-28,1.3668759606983978e-27,3.453486545300378e-27,1.2544611829226981e-26,3.162357588990883e-09,9.417080357064907e-09,1.135159344348248e-08,1.3279090383857481e-08,2.2560910483384118e-07,0.9999984698651437,0.9999988119936307,0.9999993231341814,1.5714016234838505e-17,3.466371374790987e-17,8.605235668346789e-15,3.0771041068209174e-14,0.9999999993440969,0.9999999999792661,0.9999999999900602,0.9999999999963662,0.9999992193460835,0.9999999999999996,0.9999999999999998,1.0,0.999999999997536,0.9999999999994726,0.9999999999999329,0.9999999999999332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apple,shape,0.00027173418536943794,0.0009487599786479601,5.087716380889085e-05,2.7783312885674653e-11,2.498642332693062e-06,0.0003859093914582865,4.941314496441218e-13,9.25757448616475e-08,0.9996694679479184,9.568418819385427e-06,1.5301516042493027e-05,0.0001643452344829055,1.059092531380617e-06,1.0590925313806285e-06,3.0493257363333535e-09,9.97680491566432e-10,2.090838665401888e-12,5.5441594781598354e-14,9.044725116939783e-13,7.795281741282055e-13,1.4988272167903265e-11,1.0635245188290886e-08,9.296200521067653e-06,0.00019511036629305464,1.3770852732263424e-05,0.02927412726442363,0.9996743805901642,0.16819290189323113,0.027005849524547206,0.023087233169873343,0.8455827819531094,0.00045698637765459406,4.145886493102759e-08,2.5039727333418274e-07,0.0009422028970124791,0.03043479207420509,5.378619932020106e-10,1.1550235425915064e-10,2.2143381560369855e-10,5.994977823297983e-08,1.8743732910663557e-09,0.0043448372471137225,0.00021327560809113828,0.0025690224071311116,0.0001380974723642387,1.7999517038894428e-06,3.992747541171764e-06,9.208847007993073e-05,0.0003545334045425361,0.00013139364974914874,0.01734487551526266,0.9572226154946488,0.982424046299548,0.998496841271037,0.9813076956066396,0.9966394515274036,0.9992682685093535,0.9989481350944444,0.9997510728401382,0.9999048205176565,0.9977136455301328,0.9994439450110358,0.9998419026763254,0.9999759860443688,0.9999135989739442,0.9998883366070842,0.999967489487027,0.9999933553776443,0.9995038807072949,9.930345877962983e-07,4.181011668130182e-07,3.985027655239074e-07,0.026094414182384246,0.006034987209985932,0.9966179746243773,0.6869629947061718,0.9421110758745613,0.9999459766472493,0.00012896356600062555,0.00020753539936535167,0.0037315146354608563,0.6570681038878052,0.002394953135712984
apple,object,0.9999999966087916,0.9999999977167653,0.9999999828136851,0.999999940840028,0.9999999823695774,0.00022199572107256378,1.5171643377598385e-06,8.062542362823686e-06,0.8363246383203615,0.001239644414909763,0.005900791811560104,0.003319271403703157,0.0005255390793258212,0.0006310078691691125,0.001021889764176662,0.0005147824726377486,0.0002158274979616529,7.916175369025137e-05,3.486962063678921e-05,0.02993631868634089,0.004239913778715002,0.0005154395028267318,0.0030405501065364515,0.019808363308356433,0.0049129232570932655,0.6438236284278216,0.005445532932037035,0.010099230428889787,0.0031370166622914195,0.003206062905099077,0.0418949740762179,0.10201056686009553,0.0035699359913190665,0.001717419748528721,0.6884458747789282,0.923786299050953,7.112456370967193e-07,6.009218555649316e-07,2.424058029105951e-07,7.71897380232301e-06,1.310137474401218e-07,1.2213809324516874e-08,1.598822831590153e-07,2.7869360599070516e-07,2.49363634480274e-08,0.0002672896241299116,0.0014438360390898388,0.006444432594739563,0.000681364700687665,0.001016906295107665,0.8232856499402328,0.9887090002513025,0.9959148946493221,0.0609806481314806,0.007673395221478935,0.1455270139467086,0.24274725175235717,0.9999775053685956,0.9999959541307342,0.9999935816261046,0.9999851707692801,0.9999098076897246,0.999999358785202,0.9999997202104923,0.9999995875269649,0.9999755298716074,0.9999678001873263,0.9999965063805983,0.9997994411829161,0.9999999947917428,0.9999999998062123,0.9999999987684767,0.999999999981865,0.9999999998597069,0.9999999542219812,0.9999999913749181,0.9999999942587963,0.999999999667117,0.9999926726853239,0.9999999421832173,0.9999999992876003,0.999999998033517,0.9999999998635045
arch,rgb,0.9999991590014422,0.9999993764459971,0.9999996923219164,0.9999998735869517,0.9999996872657743,0.026403429507741463,0.007670379119964082,0.09690317038411525,0.004002098933237617,0.08392721020542841,0.12293998547640284,0.0595992423890683,0.06059073875910546,0.06140156952991156,0.06102102637756084,0.003071698993436921,0.0033925941627865274,0.002918537750539493,0.0031973087971649047,0.0032599722957399515,0.0036413939424396586,0.010537285610336759,0.009133515000327812,0.008738046891691064,0.008520461316880414,0.008485256733875766,0.9999999986775099,0.9999999971588989,0.9999999936716182,0.9999999779799873,0.999999387130288,0.2592893743685887,0.29350792109586726,0.2945044931936017,0.2897069484465961,0.30687707303637396,0.032542881214636686,0.029699572308709607,0.028050241368959967,0.027875160333358545,0.022622352718261397,0.8863490219046516,0.8430394086884931,0.8159434723962192,0.7654628769078654,0.009874397887472814,0.010323204966065948,0.009110252061927431,0.00793475641548312,0.006626071402500156,0.48671307884140275,0.4572959379247905,0.489888587688988,0.3966368320257694,0.6591016610998282,0.2550513064716838,0.21050555338951793,0.023927664285684082,0.025270629399592015,0.08400189690312701,0.14453015954390952,0.011607271648699619,0.023457706759411966,0.02716458934920317,0.03237927745187405,0.007761073092392134,0.009075215374874393,0.012401355185164217,0.012377618188143077,0.9999995695010732,0.9999999508616544,0.9999999530193122,0.9999999639553805,0.9999999710003873,0.9923650549448223,0.9991145449522304,0.9993515599092068,0.9997489859955027,0.9970280137247,0.9999052349404068,0.9999922503816188,0.9999929188090408,0.9999932252396231
arch,shape,0.9999931836392277,0.9998844410557467,0.9998133599833301,0.9999998881814748,0.9999999301676983,0.27731874509094384,9.255008528290994e-08,0.3994593318685542,0.4763461013818096,0.9987792203508994,0.99994135444539,0.9999444317262763,0.9998876808006811,0.9998876808006811,0.9901811358384959,0.00023642228658981944,0.00037985444302780075,0.9247478491197725,0.011724981736360577,0.0057224766355918645,0.019072508935153103,8.358900849659907e-06,0.0005071976846717763,0.00368749303131709,0.06216408172636417,0.0007889286836680606,3.99823804543493e-05,0.001657207124690417,0.06712654037257973,0.7320507927434461,0.004037739937344732,0.0036618161447331487,0.9970474925230691,0.9646284785093652,0.12110498610416677,0.0719272906131726,6.703065534619268e-05,6.581442157059852e-05,0.006902330843176489,4.827752330345396e-05,0.3260456538798458,0.0019293014441526895,9.612112734318556e-06,0.00013721220380761288,1.5119859743303331e-05,0.9999999950934202,0.9999854108790891,0.9999514234736687,0.9999860717732201,0.9999974006086658,1.897643843560044e-05,2.5166032701413672e-06,3.268600684474079e-06,0.00036412821452310736,7.221163404155502e-06,0.07057380985652625,4.703204228374737e-05,0.00023092167543969694,8.47712121589473e-06,9.704806626436792e-07,1.382652688422343e-06,0.07929702527999158,0.4279253521815228,0.3245964879631995,0.4575147736073923,2.9184619728102874e-05,1.5015284466513497e-06,1.1828906547042363e-08,1.25140445957907e-07,0.999736118097769,0.9998774768962708,0.9999071481384566,0.9997831753575555,0.9995871419576194,5.986924049705092e-07,0.00028730940056883263,9.999085093093766e-08,3.6662688521167486e-09,0.8989039005640495,0.002548290200363148,0.0004097125667813901,0.0037408298868740458,0.0025106021929600744
arch,object,0.9999999937026716,0.9999801684288366,0.999996305378584,0.9999999998646785,0.9999999998960489,0.00017424339712745265,1.915883844259757e-06,0.028264985327163906,0.003263725529450073,0.9898099271948927,0.9994413532909339,0.9985543707274874,0.9990973408881118,0.9991410272657227,0.987819495298808,0.0002157966393943088,0.0007235042740814535,0.988081885552136,0.0012325106586749239,0.01413234220435385,0.001862812397554313,2.171576415107926e-05,5.645330598483283e-05,0.00020385464305762207,0.001609222439921808,0.002283640068845681,0.004018746168249778,0.37834420305963057,0.985354332068162,0.9928296711313295,0.23252337602898326,0.010802433046603603,0.9937171000917137,0.9197660579509968,0.04298213289067989,0.03529483325333175,5.539870771585268e-05,6.618178499569298e-05,0.003211762960895482,1.3873701131118273e-05,0.04345655667481924,0.0010138383462497858,1.1520107922967526e-06,3.644428668070756e-06,2.6314744574923867e-07,0.9998367878853144,0.9821066151906553,0.9832123108219399,0.9990563806550513,0.9921907289915596,2.2588392537581727e-06,6.107658309691799e-06,9.922391567243715e-06,0.00032000980865292875,1.1656599999843593e-05,0.006422501860781072,2.9131113916223672e-05,0.00012131285527737391,2.7459393424923877e-05,5.292394672159191e-06,1.409058805255012e-05,0.04209198981150042,0.27033750188707156,0.2586578623626254,0.5985431926562682,1.5174739517599492e-05,2.951398424734582e-06,5.667043552966891e-07,4.150816930980652e-06,0.9998507480784564,0.9999998247539431,0.9999764129323526,0.9998979260779903,0.9998063957489968,3.124677192664431e-05,0.0032087867240170606,0.0003534765863260677,2.704196934818421e-05,0.9993006839905181,0.11662082826068923,0.503270464925277,0.07585890979950315,0.7124433134573509
banana,rgb,1.1345264673356407e-28,1.126522418824654e-27,8.301633650668512e-29,1.3013799677217524e-29,1.3205534132901194e-27,0.9686601882889765,0.9815535609941541,0.9798598164497997,0.9879097135677611,3.084685157844297e-14,1.1655977370291103e-15,3.700642601850815e-13,2.940353541562019e-13,2.4088356020689446e-13,2.5170290565425016e-13,0.03261193076059597,0.01872429083629474,0.18978362008360758,0.11085947965674911,0.6699980295541031,0.7506183902195087,1.9314492945340203e-07,6.832454915311932e-07,9.556770818817892e-07,1.1983980356341657e-06,1.2484711351980803e-06,9.38299800832955e-67,4.647991825923827e-65,2.523127876909839e-63,9.684171049363666e-61,1.2018187398856672e-53,0.9790629629125578,0.9719950969102052,0.97182947704298,0.9746817371228561,0.970770671375747,4.563055315350923e-06,4.192693325331385e-06,5.038454181471914e-06,4.9948874675071895e-06,7.766500409780826e-06,1.787341197247042e-17,1.5564887631886364e-16,9.482126044639871e-17,2.6180358678385317e-16,1.0198083671584751e-06,4.6878477798412646e-07,1.4838666100075105e-06,5.700457337155246e-06,1.517133768436753e-05,0.9880143254387184,0.9906158795104802,0.9878363270268258,0.00034173675688181117,0.00011915090057144767,0.022111722159895417,0.054076160489150316,0.9999057172761958,0.9998007532993699,0.9994997588711293,0.9987710868398104,9.515618714776417e-07,0.0011435995022147755,0.00040649789187534676,0.0001785200299354437,0.130433180295816,0.08439455237396112,0.009732445062532487,0.010067178467306773,3.8502677999839994e-28,1.0994817592285993e-30,1.0157134506203943e-30,6.310220567409684e-31,4.225970071053786e-31,2.142887001391594e-10,5.942391355662295e-14,1.987126891321491e-14,1.0665341110143044e-15,3.8603643736823563e-16,4.700649323498037e-21,3.627687883574183e-24,2.9029713080920712e-24,2.6017193934828147e-24
banana,shape,9.905995342578002e-05,4.7022433004970304e-05,2.9509830808938144e-06,5.6286824392353695e-05,4.972073461985164e-05,0.9998735462923797,0.9998691008083279,0.9997966191641244,0.9999722896141062,1.1158978697800036e-05,4.4631651178773985e-06,7.834836929202268e-06,5.647712986799128e-05,5.647712986799149e-05,6.734756793345999e-08,0.2278778771614695,0.99998747579989,0.9815286893216344,0.9324004596116158,0.04874195942384887,0.4753123779896335,0.00016598982105147438,0.012506634679264399,0.0017346303536651688,0.0018862763776297698,0.00028904559073569087,0.008405238060764842,0.00019355252014957195,9.26769569817587e-06,5.301290326095266e-06,6.388687768806833e-07,2.378079277271704e-07,3.152516956021431e-05,0.00044241878273029326,1.8800412296100577e-05,2.119868722557385e-07,4.903175256626899e-06,0.04550767957320625,0.9939033823995159,6.888714472215076e-07,0.39459210424385527,0.0004335051876713929,0.00040801294089828915,0.0007859593157150023,0.15582282011852874,3.614865299783759e-05,6.757616447693847e-07,2.8013529909619056e-07,0.07367320087255298,1.0463284243566723e-06,0.8768244023868372,0.0387780994688635,0.12150726496033055,1.3661514580429482e-05,4.057721445966041e-06,1.9999534628174285e-08,1.4926218057969167e-06,0.046107215082590705,0.022227091205819047,0.11635197087552417,0.1588443400187705,9.85041486464101e-06,1.0132054684086905e-07,6.635873176173009e-07,4.402862685363804e-06,0.9799763674085482,0.9857590498363958,0.9881715473826688,0.5071785698862821,0.0038131823812707116,6.823160927320592e-09,1.0582276873300542e-07,0.00738835207254498,0.036000773025467725,0.9979631351030946,0.4148501470083431,0.9610568845245249,0.9926753444062475,1.888726156363836e-05,0.00015156399722704886,0.001829643086791689,0.1928498586813006,0.0098112988680276
banana,object,0.013359917489279666,0.01960058690716805,0.02107004541381074,0.9999752348944091,0.9993917325603998,0.9999746113417989,0.9999314348437911,0.9999460958150779,0.9999671205411989,3.9040778287228715e-06,5.642838438657365e-06,1.215301673570544e-06,0.00027087804331790005,0.0002769001238670091,6.100875223851684e-06,0.3862679893538412,0.9998106296667822,0.9983328174458774,0.9999854750308118,0.07737318681709289,0.9998230969424244,0.6495198132822035,0.9528434781367622,0.6718906318447153,0.9177868317469102,0.02402310941833288,1.455375936228678e-09,1.823918508496344e-10,3.798924173311528e-10,9.125326950752272e-10,6.831733268124772e-11,4.330669521208791e-05,0.9587233345908018,0.9966730083385108,0.7159614432977335,0.0008275060013053698,0.040711929093182504,0.9606414001833142,0.9973900504353087,0.03287831016275209,0.9954696831865394,2.5125823857671872e-06,0.03577692780801634,0.052639684573763355,0.13838343853447438,0.06533473542033055,0.011290705217032636,0.0023397682347394066,0.0819420805165446,0.0003664472708646513,0.9999776436681459,0.9975867100272827,0.9971756014115764,5.832780551557393e-06,1.0841339177482307e-05,7.469918822626944e-06,1.234584762284536e-05,0.9611692179775814,0.7533643628094424,0.985521179337107,0.9797648641020303,0.0006255161871448469,0.00017074170258092944,0.00015775680122602642,0.0017753054896684306,0.9976281787324366,0.999576367354766,0.9982033625004746,0.9837753732945407,0.9999985171378214,0.06770567434907213,0.9992224701895103,0.9999217736736234,0.9999855312575189,0.9999994881077874,0.9999713580501023,0.9997417333628653,0.9999965890723721,0.10391222356743236,0.9998692384699097,0.9883210089268792,0.9999780383734175,0.9944818052486175
