Token,Type,0-arch/arch_3,1-arch/arch_3,2-arch/arch_3,3-arch/arch_3,4-arch/arch_3,0-banana/banana_1,1-banana/banana_1,2-banana/banana_1,0-cabbage/cabbage_1,1-cabbage/cabbage_1,2-cabbage/cabbage_1,3-cabbage/cabbage_1,0-carrot/carrot_4,1-carrot/carrot_4,2-carrot/carrot_4,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cuboid/cuboid_3,1-cuboid/cuboid_3,2-cuboid/cuboid_3,3-cuboid/cuboid_3,4-cuboid/cuboid_3,5-cuboid/cuboid_3,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3,0-cylinder/cylinder_4,1-cylinder/cylinder_4,2-cylinder/cylinder_4,3-cylinder/cylinder_4,0-eggplant/eggplant_3,1-eggplant/eggplant_3,2-eggplant/eggplant_3,3-eggplant/eggplant_3,4-eggplant/eggplant_3,0-lemon/lemon_3,1-lemon/lemon_3,2-lemon/lemon_3,3-lemon/lemon_3,0-lime/lime_2,1-lime/lime_2,2-lime/lime_2,3-lime/lime_2,0-orange/orange_4,1-orange/orange_4,2-orange/orange_4,3-orange/orange_4,0-plum/plum_3,1-plum/plum_3,2-plum/plum_3,3-plum/plum_3,4-plum/plum_3,0-potato/potato_1,1-potato/potato_1,2-potato/potato_1,3-potato/potato_1,0-semicylinder/semicylinder_3,1-semicylinder/semicylinder_3,2-semicylinder/semicylinder_3,3-semicylinder/semicylinder_3,4-semicylinder/semicylinder_3,0-tomato/tomato_4,1-tomato/tomato_4,2-tomato/tomato_4,3-tomato/tomato_4,0-triangle/triangle_3,1-triangle/triangle_3,2-triangle/triangle_3,3-triangle/triangle_3,4-triangle/triangle_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,plum,plum,plum,plum,plum,nan,nan,nan,nan, , , , , ,nan,nan,nan,nan,nan,nan,nan,nan,nan
apple,rgb,1.9052268924886965e-30,5.669944265966119e-31,5.632284245808648e-30,2.3665945747953784e-27,8.901598133840927e-28,0.0005740280922084206,0.0006998816939227039,0.0016417554290416195,7.55018002337971e-09,1.2499903255369136e-07,1.395856303098337e-07,8.449787537883922e-09,0.9934621533818875,0.9994480547920095,0.9995711866148788,4.611199985202431e-07,4.7451041610685e-07,6.533124205585782e-07,6.661678890308084e-07,1.9897014769706904e-30,9.805173212668836e-30,1.8937690524999316e-29,7.521841572521902e-28,2.5648883741718495e-27,1.0,1.0,1.0,1.0,1.0,1.0,4.088958945380989e-18,1.9260500971858426e-18,3.821653636507775e-18,7.91800655571727e-18,1.3213106251783414e-17,5.837828197887183e-17,3.758167982910981e-29,1.545010948047657e-28,4.085448874344434e-28,1.5602098446089342e-27,2.4190767058573855e-09,8.256999125151595e-09,6.166708385181599e-08,1.1598990604163016e-07,2.1965554074110718e-07,0.9999837435894333,0.9999860627753684,0.9999970562836953,0.9999986419741286,3.2999016233910237e-18,7.107423906324768e-18,2.2186806075202176e-15,8.317550512402153e-15,0.9999999887369838,0.9999999932652253,0.9999999979684895,0.9999999988782606,0.9996822893156185,0.9999905970007277,0.9999999604414669,0.9999999955893244,0.9999999999850695,0.9999999999988693,0.9999999999997691,0.9999999999999727,0.9999999999999727,9.194985898763381e-05,0.00010812826205669627,0.00019320194382418623,0.00014511441844588678,0.00038300229341865316,0.9999999999897615,0.9999999999808076,0.9999999999999616,0.9999999999999962,1.4582437815911706e-29,2.470736778179997e-29,8.832624062859818e-29,2.5450790761187806e-28,1.891314229490452e-28
apple,shape,0.0015556323401174474,0.00033281829069662863,2.0786112017481107e-06,3.4056212861364145e-07,0.018227573719306302,1.8190471263862933e-08,0.09148554043780172,0.9036162285026255,1.9484539078134547e-06,0.06866902374973159,2.105253352524943e-07,0.0006345274728745467,4.977359881012484e-09,5.033194062045941e-10,0.0016915143293318214,6.908698087979557e-06,0.006764016020468538,0.09410708318764387,1.3014940396625787e-05,0.0016412310868116323,6.99597594845686e-05,0.0002734698884698972,0.0006203704871404175,0.17865833499410588,0.0003069169249657334,0.0006986910559937768,1.8371340962042868e-05,0.005644952221016613,5.532653522480499e-06,6.989675049066608e-05,6.112640313253051e-07,4.746089977144355e-06,1.6933431123737076e-06,3.5581088113722217e-07,7.008582675991262e-08,0.0018769231190128661,0.004942306820978492,0.002624206971228981,0.012595746883287594,0.0007614086327487333,2.4046138480176843e-05,0.5184484718076555,0.7252307279882706,0.05124958238807253,0.17426945378095265,0.1179923322018402,0.004606814247033933,0.5512574618166195,0.9986609841102395,0.9978095187050722,0.9865633392009867,0.9990946617114751,0.9993637164412191,0.9998314678563308,0.9862043146394471,0.9998551291714337,0.9988833149810933,0.9997870756325135,0.9999683852180692,0.9993078446062279,0.9994763156903288,0.9999820206350389,0.9999500442807969,0.9998007146098412,0.9998734323796482,0.9992705455471111,0.0006868459882858511,0.04721140659110899,0.0020223479921513375,0.010788583590742256,0.04638849664480316,0.8569120703168522,0.5886757440977121,0.9993319639405744,0.6140464338011182,0.0001730381164278819,2.9286676321148865e-05,0.0001317834935552232,1.6891274473396412e-05,3.732377639620333e-05
apple,object,7.320031106381594e-08,5.308114872495894e-08,1.192645998974636e-10,7.232930453173484e-10,2.0453245663237895e-07,0.005889246541548885,0.49860247919874495,0.8114885559033584,0.0009396698183440574,0.025540435802707217,0.0014851975773028376,0.0031129964318763535,0.1733325258575188,0.001869737534232722,0.2720714195656481,0.0013785534494544507,0.03697926993748715,0.16031205970419518,0.024517487154655064,5.991003052458668e-08,2.666159842325692e-09,2.724868001100462e-08,5.520603364389885e-08,4.17759770924038e-06,0.9999999972579388,0.9999999989151247,0.9999999947292724,0.9999999996767306,0.9999999993767723,0.9999999998233597,1.6030159443367442e-07,4.060519666148223e-07,2.6625488318395874e-07,1.2292503732197274e-06,3.766856759505899e-07,3.6352102340205164e-06,7.873710867275165e-09,2.3290966399622838e-08,2.4330375795003628e-08,1.5520515681556248e-08,0.016880778430085668,0.17239522121419135,0.0158603014396895,0.05888070192111121,0.08159899487648808,0.6023957896589319,0.24620902464556557,0.9386009762219264,0.9981043289373768,8.582862824810944e-05,1.4732413771196617e-05,0.00029426433582215337,0.0006162159747435481,0.9999053571087342,0.9998054406404604,0.9999581439497458,0.999948321864977,0.9998341093149786,0.9999710301997696,0.9999759071200728,0.9999896659583137,0.9999961091126771,0.9999998257575543,0.9999996996114185,0.9999999631346737,0.9999978321172934,0.03177252801492187,0.03692116250774064,0.00615363624914013,0.03499559482615396,0.02014728777199256,0.9999682888230398,0.999978834940167,0.9999950383098861,0.9999945154378505,7.607008328118319e-10,1.347023349967035e-09,2.317670441362937e-10,1.6712991765622716e-10,3.2739615191305028e-09
arch,rgb,0.9560426224564055,0.9555001582275767,0.929075398723294,0.7427058840765529,0.7751719997711372,0.004773050116990388,0.004928270956804092,0.004792408204277034,0.04865858857558058,0.05120974261767492,0.050622632540184016,0.03018735413257928,0.005671784580399852,0.00573256434695965,0.005845699703800698,0.010526842089558558,0.010318413367075474,0.010390226377841306,0.010118244061196576,0.9327210280923882,0.9048812769232731,0.8907068185292552,0.7820335708820411,0.7364685625473761,0.9996140111917367,0.9999688106133521,0.9999833582758613,0.9999811921603878,0.9999856648794071,0.9999952799914773,0.06532455045662738,0.0744723082651281,0.06624503631210117,0.06055910177852867,0.056647588269501926,0.04703987177794115,0.8784544792174129,0.8379160599269546,0.8151409916855308,0.7711204470964235,0.02725827558428922,0.025183010733284616,0.0241277964973416,0.014048231693286709,0.009369278434687057,0.2733266692494627,0.2965047714237008,0.33918432135157955,0.2738026955444197,0.3837445792040608,0.6042172805838372,0.2526934054907395,0.21314137658405774,0.12220668777877526,0.10383526855503021,0.12701520398842012,0.11938249237514552,0.025319464046182193,0.02140900611264026,0.031050210792870608,0.0227971680665893,0.02434689882911769,0.010569800863120503,0.011978603594307285,0.0156347316282578,0.015605072547269217,0.21859608042871978,0.09419649909120505,0.23144350359598737,0.0867278852891792,0.22459072066343821,0.009680564967768066,0.010452780815417218,0.06234767045009403,0.02814743790307155,0.9011999352919866,0.8883666292836508,0.8556449409346535,0.8377554898692728,0.8380462185448789
arch,shape,0.9999564816601361,0.9999643903451879,0.9998705579405167,0.9998116080607808,0.9997470925858699,0.9979173446006036,7.745861851338405e-06,0.09064034222594358,0.9431073689909898,0.9995672080881808,0.9977398436488901,0.023939722484318717,0.06389416929311831,0.06693333787019165,0.004560802208671302,0.004504925585104833,0.01050941015167469,0.6516006458625263,0.00035956912200783234,0.00043849407608579423,0.26979969666564757,0.4794386103910117,0.6832254492590116,0.0889471696977529,0.561259758479943,0.7313852402183469,0.7403419645417861,0.7239743754963376,0.5028632012964802,0.9771720414920293,0.00014387208936441444,0.003175688533501278,0.00014884438091492317,0.0006943823415417226,1.5698643520638047e-05,0.040749373352620424,0.08075051798899573,3.4757512754832774e-05,8.244545977979672e-05,1.727572798430012e-05,0.99989594851172,0.9999996023649009,0.9999917757053912,0.999869901441195,0.9995883039609753,0.0050316069147952345,5.9100368564630706e-05,5.718054677300327e-07,1.2147800459808627e-07,0.00014960475240894224,1.862388192607377e-05,0.1632412615495371,9.66070108987655e-05,1.3369512781141057e-05,6.411688802430742e-05,1.1189597194337997e-05,0.0002551208530528437,0.019749734845733957,0.012567324699578632,0.04198402054024516,0.0007319214509259443,0.12077687310450695,6.184822063185613e-06,5.10052500118525e-07,7.099160809942486e-10,8.975950686604186e-08,2.219928133384892e-08,0.006013063664946915,0.004816908608267057,0.8998177516800208,0.6111398458645702,4.505685289319875e-06,2.529910192035477e-07,7.876635425703579e-07,3.8270076846348706e-08,0.30898804181406625,0.9913605651856008,0.975255848624242,0.6861736779249379,0.5245816806559487
arch,object,0.9999713655421942,0.9997210079495129,0.9997811621094824,0.9997281991818795,0.9996497950778557,0.9986739507929153,0.002039129040759569,0.2941226129559414,0.9990411067865594,0.9999168264954351,0.999994522179517,0.6945588940717902,0.14125576180830043,0.3095930472544552,0.013908837066173662,0.004764006289985993,0.0034480038746549876,0.06460743811180265,0.1655644667118276,0.0005120864055380993,0.2856578933439656,0.5420339400186113,0.5665170616797832,0.003158489126641168,0.9999954927306953,0.9999984355920244,0.9999997335361872,0.9999940867217173,0.9999949679567396,0.9999993531830138,6.878456281627985e-05,0.001214249146084657,0.00011365694118191613,0.0003185298448352745,1.8361387653532822e-05,0.005145917760649074,0.007888600922798025,5.750960619233629e-07,8.388406698876843e-07,3.0806965480100046e-08,0.9994305568292645,0.9992406263242734,0.9898433475082732,0.9905948418822942,0.9897742805793518,9.315224855114759e-06,5.236471347909835e-07,1.3897847281138141e-05,3.059325790577821e-07,0.00015145164385435865,7.831102173600059e-06,0.005800963768621955,3.6822005987779995e-05,0.0008587239049295131,0.0004717708122307671,0.0010225237375758951,0.003441444999521911,0.9739426703502925,0.8173602833225085,0.9797938627399415,0.4124421441696812,0.9501411200177774,0.00015824729354523446,5.259447393872613e-05,1.9044019034070472e-05,0.0006942224540624647,4.186233963089786e-07,0.00013142411911023016,3.438039427312075e-05,0.05012475943973441,0.026500001807372928,9.300741924967869e-05,1.3296343800488767e-05,0.0001083464446792769,6.740421067883636e-05,0.263801673454277,0.3696918007347739,0.07451716365824235,0.0005238036540646043,0.02449105728925306
banana,rgb,2.8557770296461617e-15,2.156209684046163e-14,9.093715597959608e-14,1.8785532714103872e-10,3.7498821910495593e-10,0.9983847658400552,0.9989081736221704,0.9990279358680282,7.683428602762142e-07,3.8659208339497126e-07,4.116376674153707e-07,1.9159192120800548e-05,0.5196831246825738,0.5478895355232954,0.5089675778471022,0.025545172850791116,0.03005247786243648,0.026396624999196882,0.032863664646559314,1.5272120758021793e-12,4.4547655654213425e-12,1.0060383544893325e-11,4.1641765473330233e-10,2.9792444335036683e-10,5.2380389584677525e-18,4.046942590204369e-21,3.705719209568743e-22,9.342665510614991e-22,3.138356805166299e-22,6.2775972340109735e-24,0.0018299051471423564,0.0035700710959952185,0.0026206598990255107,0.004309760536541921,0.005139474849469456,0.009707896366600846,4.7078541491515425e-12,2.400888219886306e-11,1.846334790718379e-11,4.173665677043352e-11,4.952704024042191e-05,6.906885309952692e-05,6.631737492522873e-05,0.0032606038637489738,0.08375301402240677,0.9762866595655149,0.9697398785736956,0.9530955068426448,0.9752877260370003,0.010852636153506097,0.003118127868370262,0.18837469198922469,0.324773616119134,0.995986317077023,0.9970430374610753,0.9951290513833747,0.9955337455284462,2.233983435835552e-05,9.145310781136077e-05,1.5924605993349043e-05,0.00017878408611742285,0.0003889853172705087,0.6290598629538332,0.5226419295523269,0.1642657694831758,0.16760859526371202,0.9687905652670327,0.9954570754012749,0.9662375529292073,0.99626145824264,0.9707024490568635,0.998082909268112,0.9988778844013229,0.9942644595292013,0.9927067419386364,1.5013222176871185e-12,3.2241889242076062e-12,1.108880148594675e-11,5.674960581599443e-12,1.1169812630282272e-11
banana,shape,0.005621432878555886,0.0003647197821366227,1.2375925096548603e-06,0.8254535285330649,0.17601339720569428,0.9998587450737038,0.9999323885585264,0.9998647270549385,6.669534087919243e-07,2.6997387108131713e-06,2.6772111778728443e-06,5.5680225892297125e-05,0.06043806675724501,0.9998797729554904,0.001409157677667997,1.5656335056961889e-06,5.6598561608648586e-05,0.00101196971813222,0.0005581708398060149,3.5615774520930697e-06,3.546273062751868e-07,4.4463020174297793e-07,4.3451216255277614e-07,4.435877285911743e-05,1.327130039436611e-07,2.5179334161941254e-07,0.06329528951714115,2.701407221027399e-05,0.005998004468574846,0.0004069812233124597,0.9620113950946289,0.004507767236083781,0.39053386465843176,7.76247192516937e-05,0.0047127671522507655,0.00042791410522484674,0.00038057548316836233,0.00010806998666271263,0.00035638409493853946,0.00997284280471886,6.065714894039138e-05,6.227261576201497e-06,0.3814883552904349,0.3574423323552266,0.27092518760948325,0.00019076310426765852,0.444478217123675,0.1561691557159276,0.3195077368277473,1.1671975357036079e-05,1.0213484744458427e-06,9.326228535629889e-09,4.524384103983433e-07,0.02509560951663186,0.00012973530930600894,0.001208186545533774,9.57721391210017e-05,1.7047747432944192e-07,2.8798718976438374e-08,2.830613870705278e-07,1.8934474285585372e-06,1.6853544972220862e-07,0.8783639290814468,0.9929023733356808,0.9929245138995967,0.6064244366251655,0.8961062686235491,0.012066190394483927,6.13528029246999e-05,0.00011351685740880584,0.0022148523751784363,0.38890500621555424,0.5431399950582124,0.1253374138288991,0.2302381638439213,1.4846044176518006e-05,0.00429988719353308,0.011452333943193022,2.3443003008924658e-05,8.999784375337198e-05
banana,object,0.000892368432510541,0.0010359547987104237,0.0001228732901554781,0.9960378433095106,0.9626456434285785,0.999936802610384,0.9999346748551254,0.9999083305672211,2.9621648005885257e-06,1.3623217109591651e-06,1.5224841855142574e-05,5.434748244413203e-05,0.9992881987466989,0.9996306129228523,0.05749513311430222,0.3256816959125839,0.5370761856797047,0.4378763915472578,0.018110602232843654,2.243328026026706e-05,4.1260759107663076e-05,0.0001056256700034995,8.865471028366871e-05,0.02076586944183002,7.366602013235725e-08,5.3233917837580015e-08,0.0074767002016051355,1.5617622724215568e-06,0.013318403062734572,0.0016122189449621553,0.9991036330003842,0.9946028928004368,0.9970243069746765,0.9707610227146307,0.9801721376438675,0.022907164713117385,0.2131230584179215,0.599761938379721,0.45031321594230506,0.6897476222309634,0.6034635246986471,0.10079794090145953,0.9568946470914991,0.8899484666751502,0.9426244186631251,0.8667678884952865,0.9814365731856801,0.9250508392120813,0.9237380191978102,8.695057805704896e-05,8.464424076187545e-05,5.8818247541547385e-05,5.583840023946079e-05,0.09251163749864201,0.011333537082983902,0.012293004826768207,0.004403127571237245,3.6931239026279415e-07,1.651949190021538e-07,6.744782802657151e-07,2.8585224260973347e-06,3.433676970169091e-07,0.8998526230137415,0.9601287378042246,0.9285807242512619,0.8024600742125844,0.9995899181838347,0.9692465582325323,0.802110514766081,0.39395029603540455,0.8364695529373699,0.7050767879634174,0.8658126979213923,0.8182550312410714,0.7415624514406554,0.027057734203513196,0.8692553232888224,0.7156373524346873,0.44267970513429905,0.12529794307542258
