Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
on,corn/corn_4 (nan)      ,corn/corn_4 (nan) ,corn/corn_4 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) ,2.0,-1.0,0.0,1.0,0.5,1.0,0.666666666667,0.8
on,corn/corn_4 (nan)      ,corn/corn_4 (nan) ,corn/corn_4 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) ,2.0,-1.0,0.0,1.0,0.5,1.0,0.666666666667,0.8
on,corn/corn_4 (nan)      ,corn/corn_4 (nan) ,corn/corn_4 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      ,corn/corn_4 (nan) ,corn/corn_4 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
on,corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) ,2.0,-1.0,0.0,1.0,0.5,1.0,0.666666666667,0.8
on,corn/corn_4 (nan)      corn/corn_4 (nan)      ,corn/corn_4 (nan) corn/corn_4 (nan) ,corn/corn_4 (nan) corn/corn_4 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - on,,,,,,,,0.85,1.0,0.9,0.9400000000000001
 ,,,,,,,,,,,
cube,cube/cube_3 (nan)      cucumber/cucumber_4 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cube,cube/cube_3 (nan)      cube/cube_3 (nan)      cucumber/cucumber_4 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cube,cucumber/cucumber_4 (nan)      cucumber/cucumber_4 (nan)      cucumber/cucumber_4 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
cube,cube/cube_3 (nan)      cucumber/cucumber_4 (nan)      cucumber/cucumber_4 (nan)      cucumber/cucumber_4 (nan)      ,cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_3 (nan)      cube/cube_3 (nan)      cucumber/cucumber_4 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
